Diagnosis_code,Diagnosis_description
S82875B,"Nondisplaced pilon fracture of left tibia, initial encounter for open fracture type I or II"
T4991XS,"Poisoning by unspecified topical agent, accidental (unintentional), sequela"
E71541,Zellweger-like syndrome
H4321,"Crystalline deposits in vitreous body, right eye"
W2131XA,"Struck by shoe cleats, initial encounter"
V902,Drowning and submersion due to falling or jumping from burning watercraft
S11011,Laceration without foreign body of larynx
V00838D,"Other accident with motorized mobility scooter, subsequent encounter"
I69134,Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
G4089,Other seizures
S20119D,"Abrasion of breast, unspecified breast, subsequent encounter"
V9109XD,"Burn due to unspecified watercraft on fire, subsequent encounter"
S49191K,"Other physeal fracture of lower end of humerus, right arm, subsequent encounter for fracture with nonunion"
S00242,External constriction of left eyelid and periocular area
T43631D,"Poisoning by methylphenidate, accidental (unintentional), subsequent encounter"
S32613G,"Displaced avulsion fracture of unspecified ischium, subsequent encounter for fracture with delayed healing"
H3533,Angioid streaks of macula
T480X1A,"Poisoning by oxytocic drugs, accidental (unintentional), initial encounter"
T84293A,"Other mechanical complication of internal fixation device of bones of foot and toes, initial encounter"
S83200A,"Bucket-handle tear of unspecified meniscus, current injury, right knee, initial encounter"
S52034B,"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type I or II"
H02811,Retained foreign body in right upper eyelid
H15059,"Scleromalacia perforans, unspecified eye"
T18198S,"Other foreign object in esophagus causing other injury, sequela"
T1510XD,"Foreign body in conjunctival sac, unspecified eye, subsequent encounter"
H2713,Posterior dislocation of lens
S82125G,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with delayed healing"
H0501,Cellulitis of orbit
T23152,Burn of first degree of left palm
S32484,null
M12869,"Other specific arthropathies, not elsewhere classified, unspecified knee"
M4145,"Neuromuscular scoliosis, thoracolumbar region"
K294,Chronic atrophic gastritis
W6121,Bitten by other psittacines
V645XXD,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
S62022,Displaced fracture of middle third of navicular [scaphoid] bone of left wrist
M1A09,"Idiopathic chronic gout, multiple sites"
S880,Traumatic amputation at knee level
S72466F,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S20411S,"Abrasion of right back wall of thorax, sequela"
G40011,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus"
T63064A,"Toxic effect of venom of other North and South American snake, undetermined, initial encounter"
L9710,Non-pressure chronic ulcer of unspecified thigh
M0635,"Rheumatoid nodule, hip"
R93421,Abnormal radiologic findings on diagnostic imaging of right kidney
S27312,"Primary blast injury of lung, bilateral"
T4145,Adverse effect of unspecified anesthetic
L903,null
S99199B,"Other physeal fracture of unspecified metatarsal, initial encounter for open fracture"
S0211HB,"Other fracture of occiput, left side, initial encounter for open fracture"
V622,Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
F93,Emotional disorders with onset specific to childhood
S02620S,"Fracture of subcondylar process of mandible, unspecified side, sequela"
S60417D,"Abrasion of left little finger, subsequent encounter"
S41142,Puncture wound with foreign body of left upper arm
G040,Acute disseminated encephalitis and encephalomyelitis (ADEM)
S72324J,"Nondisplaced transverse fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
K625,Hemorrhage of anus and rectum
S82032J,"Displaced transverse fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
T2170XA,"Corrosion of third degree of trunk, unspecified site, initial encounter"
Y730,Diagnostic and monitoring gastroenterology and urology devices associated with adverse incidents
S82024M,"Nondisplaced longitudinal fracture of right patella, subsequent encounter for open fracture type I or II with nonunion"
S68412S,"Complete traumatic amputation of left hand at wrist level, sequela"
S42144A,"Nondisplaced fracture of glenoid cavity of scapula, right shoulder, initial encounter for closed fracture"
T2662,"Corrosion of cornea and conjunctival sac, left eye"
M05119,Rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder
M1812,"Unilateral primary osteoarthritis of first carpometacarpal joint, left hand"
Y37511A,"Military operations involving direct blast effect of nuclear weapon, civilian, initial encounter"
S82036E,"Nondisplaced transverse fracture of unspecified patella, subsequent encounter for open fracture type I or II with routine healing"
T1759,Other foreign object in bronchus
S82829P,"Torus fracture of lower end of unspecified fibula, subsequent encounter for fracture with malunion"
S9092,Unspecified superficial injury of foot
S62151,"Displaced fracture of hook process of hamate [unciform] bone, right wrist"
T82524,Displacement of infusion catheter
M84429D,"Pathological fracture, unspecified humerus, subsequent encounter for fracture with routine healing"
T610,Ciguatera fish poisoning
S9112,Laceration with foreign body of toe without damage to nail
S90936,Unspecified superficial injury of unspecified lesser toe(s)
S98142S,"Partial traumatic amputation of one left lesser toe, sequela"
S25599S,"Other specified injury of intercostal blood vessels, unspecified side, sequela"
T561X4A,"Toxic effect of mercury and its compounds, undetermined, initial encounter"
S49111,"Salter-Harris Type I physeal fracture of lower end of humerus, right arm"
O3110X5,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 5"
S92309S,"Fracture of unspecified metatarsal bone(s), unspecified foot, sequela"
E133543,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"
O99815,Abnormal glucose complicating the puerperium
T560X1S,"Toxic effect of lead and its compounds, accidental (unintentional), sequela"
S9133,Puncture wound without foreign body of foot
S82016E,"Nondisplaced osteochondral fracture of unspecified patella, subsequent encounter for open fracture type I or II with routine healing"
H6111,Acquired deformity of pinna
T886XXD,"Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered, subsequent encounter"
S52021S,"Displaced fracture of olecranon process without intraarticular extension of right ulna, sequela"
O361924,"Maternal care for other isoimmunization, second trimester, fetus 4"
T43023D,"Poisoning by tetracyclic antidepressants, assault, subsequent encounter"
E0931,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy
C7652,Malignant neoplasm of left lower limb
C43,Malignant melanoma of skin
M05241,Rheumatoid vasculitis with rheumatoid arthritis of right hand
S0511XA,"Contusion of eyeball and orbital tissues, right eye, initial encounter"
S82124K,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for closed fracture with nonunion"
M84361A,"Stress fracture, right tibia, initial encounter for fracture"
M84551G,"Pathological fracture in neoplastic disease, right femur, subsequent encounter for fracture with delayed healing"
T7611XA,null
C7242,Malignant neoplasm of left acoustic nerve
S46199,"Other injury of muscle, fascia and tendon of long head of biceps, unspecified arm"
S36892A,"Contusion of other intra-abdominal organs, initial encounter"
I119,Hypertensive heart disease without heart failure
S02600A,"Fracture of unspecified part of body of mandible, unspecified side, initial encounter for closed fracture"
S52561R,"Barton's fracture of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S68422,Partial traumatic amputation of left hand at wrist level
C50022,"Malignant neoplasm of nipple and areola, left male breast"
S42223G,"2-part displaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with delayed healing"
V724XXD,"Person boarding or alighting from bus injured in collision with two- or three-wheeled motor vehicle, subsequent encounter"
A378,Whooping cough due to other Bordetella species
S72464N,null
F18980,"Inhalant use, unspecified with inhalant-induced anxiety disorder"
S42476A,"Nondisplaced transcondylar fracture of unspecified humerus, initial encounter for closed fracture"
S25191,Other specified injury of right innominate or subclavian artery
S02620S,null
S20342D,"External constriction of left front wall of thorax, subsequent encounter"
M1009,"Idiopathic gout, multiple sites"
M7183,"Other specified bursopathies, wrist"
S6632,"Laceration of extensor muscle, fascia and tendon of other and unspecified finger at wrist and hand level"
N6092,Unspecified benign mammary dysplasia of left breast
S36129S,"Unspecified injury of gallbladder, sequela"
Y36590A,"War operation involving other effects of nuclear weapons, military personnel, initial encounter"
S92254B,"Nondisplaced fracture of navicular [scaphoid] of right foot, initial encounter for open fracture"
S9001XA,"Contusion of right ankle, initial encounter"
H7122,"Cholesteatoma of mastoid, left ear"
V9613XS,"Hang-glider collision injuring occupant, sequela"
O0942,"Supervision of pregnancy with grand multiparity, second trimester"
I70703,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, bilateral legs"
A5481,Gonococcal meningitis
S72099B,"Other fracture of head and neck of unspecified femur, initial encounter for open fracture type I or II"
T398X2,null
B087,Yatapoxvirus infections
S62226A,"Nondisplaced Rolando's fracture, unspecified hand, initial encounter for closed fracture"
S948X2A,"Injury of other nerves at ankle and foot level, left leg, initial encounter"
O34593,"Maternal care for other abnormalities of gravid uterus, third trimester"
S60032D,"Contusion of left middle finger without damage to nail, subsequent encounter"
M5440,"Lumbago with sciatica, unspecified side"
Y3702,Military operations involving explosion of marine mine
M1A16,"Lead-induced chronic gout, knee"
M14659,"Charcot's joint, unspecified hip"
R3913,Splitting of urinary stream
S32422S,null
T271,Burn involving larynx and trachea with lung
S0211CG,"Type II occipital condyle fracture, right side, subsequent encounter for fracture with delayed healing"
M1A1120,"Lead-induced chronic gout, left shoulder, without tophus (tophi)"
S53006S,"Unspecified dislocation of unspecified radial head, sequela"
S92199G,"Other fracture of unspecified talus, subsequent encounter for fracture with delayed healing"
T63463S,"Toxic effect of venom of wasps, assault, sequela"
S82042G,"Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with delayed healing"
S0211CS,"Type II occipital condyle fracture, right side, sequela"
H3132,Choroidal rupture
T84038A,"Mechanical loosening of other internal prosthetic joint, initial encounter"
